3000.00,-1.50,4.50,308.00,93864.00
2.00,0.60,5890.00,756.73,572639.11
3.00,0.99,5889.00,1204.64,1451163.80
4.00,0.60,5888.00,780.95,609875.15
5.00,0.90,5887.00,991.21,982506.96
6.00,1.47,5886.00,1507.28,2271907.69
7.00,1.04,5885.00,1106.89,1225203.25
8.00,0.71,5884.00,872.48,761214.92
9.00,0.42,5883.00,658.09,433087.70
10.00,0.77,5882.00,1003.84,1007697.88
11.00,1.12,5881.00,1268.38,1608790.84
12.00,1.46,5880.00,1530.26,2341697.22
13.00,1.73,5879.00,1804.18,3255077.43
14.00,0.43,5878.00,590.19,348327.98
15.00,-0.13,5877.00,123.09,15151.86
16.00,0.36,5876.00,630.33,397311.82
17.00,1.00,5875.00,1211.75,1468329.53
18.00,2.36,5874.00,2484.30,6171757.22
19.00,-6.71,5873.00,-6615.05,43758835.06
20.00,-1.19,5872.00,-1024.06,1048693.54
21.00,1.14,5871.00,1408.66,1984312.70
22.00,1.43,5870.00,1734.90,3009890.14
23.00,-0.14,5869.00,128.55,16525.47
24.00,0.67,5868.00,850.30,723007.01
25.00,1.72,5867.00,1914.97,3667097.64
26.00,2.00,5866.00,2278.85,5193141.93
27.00,-1.19,5865.00,-886.60,786053.16
28.00,0.23,5864.00,568.22,322870.68
29.00,0.81,5863.00,1141.89,1303910.94
30.00,1.88,5862.00,2215.22,4907196.30
31.00,-0.04,5861.00,124.72,15555.55
32.00,1.42,5860.00,1664.19,2769544.06
33.00,1.36,5859.00,1690.14,2856566.33
34.00,1.69,5858.00,2148.49,4616011.36
35.00,-3.81,5857.00,-2938.76,8636297.38
36.00,0.97,5856.00,1292.21,1669804.35
37.00,0.08,5855.00,286.69,82188.45
38.00,0.02,5854.00,212.84,45302.74
39.00,2.48,5853.00,2999.54,8997239.23
40.00,2.07,5852.00,2612.42,6824747.65
41.00,-3.13,5851.00,-2328.37,5421306.44
42.00,-52.82,5850.00,64702.22,4186376911.27
43.00,-0.64,5849.00,-364.13,132589.11
44.00,0.45,5848.00,677.36,458817.72
45.00,51.95,5847.00,173649.98,30154313.86
46.00,-0.77,5846.00,-360.86,130217.36
47.00,0.25,5845.00,691.86,478666.74
48.00,2.02,5844.00,2609.69,6810456.60
49.00,0.98,5843.00,1334.49,1780857.17
50.00,-0.16,5842.00,94.49,8929.17
51.00,-0.39,5841.00,-98.50,9702.46
52.00,1.01,5840.00,1446.37,2091972.21
53.00,1.19,5839.00,1726.65,2981318.20
54.00,-5.50,5838.00,-3418.41,11685506.01
55.00,-1.43,5837.00,-953.60,909352.41
56.00,0.40,5836.00,703.56,494994.01
57.00,0.42,5835.00,731.13,534547.98
58.00,0.86,5834.00,1290.72,1665959.39
59.00,-1.01,5833.00,-473.65,224345.33
60.00,2.36,5832.00,3186.74,10155332.83
61.00,1.77,5831.00,2384.67,5686654.08
62.00,-0.54,5830.00,-185.17,34286.83
63.00,0.85,5829.00,1216.64,1480204.55
64.00,0.41,5828.00,804.96,647965.06
65.00,0.92,5827.00,1463.96,2143168.64
66.00,-1.80,5826.00,-1059.58,1122707.08
67.00,1.20,5825.00,1780.48,3170100.53
68.00,0.29,5824.00,686.41,471157.94
69.00,-0.03,5823.00,312.47,97637.32
70.00,-0.81,5822.00,-371.55,138049.58
71.00,1.03,5821.00,1597.31,2551394.90
72.00,3.40,5820.00,4791.75,22960856.57
73.00,-22.56,5819.00,15118.13,228557961.67
74.00,1.37,5818.00,1950.46,3804297.52
75.00,-1.13,5817.00,-653.61,427208.31
76.00,3.90,5816.00,5451.92,29723452.11
77.00,0.67,5815.00,1203.47,1448347.74
78.00,-0.96,5814.00,-310.63,96493.12
79.00,1.07,5813.00,1746.18,3049150.00
80.00,-1.20,5812.00,-580.27,336712.15
81.00,1.03,5811.00,1542.52,2379382.48
